udi_less,df,udi,name,y,x,z,cda,udi_more,da
15.212121212121213,10.087249,84.78787878787878,zone1,0.5,0.5,0.765,80.71797979797964,0.0,67.0909090909091
12.242424242424242,16.697789,31.696969696969695,zone1,0.5,1.0,0.765,16.0268686868687,56.06060606060606,85.63636363636364
14.06060606060606,19.359348699999998,25.03030303030303,zone1,0.5,1.5,0.765,-134.30989898989884,60.90909090909091,84.12121212121212
10.606060606060606,17.1242739,21.09090909090909,zone1,0.5,2.0,0.765,60.12303030303034,68.3030303030303,87.6969696969697
11.696969696969697,10.6949154,51.878787878787875,zone1,0.5,2.5,0.765,85.72707070707074,36.42424242424242,79.6969696969697
16.424242424242426,10.8280252,76.60606060606061,zone1,0.5,3.0,0.765,-201.4529292929292,6.96969696969697,74.36363636363636
12.121212121212121,16.5516274,22.545454545454547,zone1,0.5,3.5,0.765,12.734141414141385,65.33333333333333,86.06060606060606
11.030303030303031,14.2967894,24.90909090909091,zone1,0.5,4.0,0.765,78.2789898989899,64.06060606060606,86.66666666666667
11.272727272727273,6.77382231,37.03030303030303,zone1,0.5,4.5,0.765,70.33737373737374,51.696969696969695,83.57575757575758
12.363636363636363,18.021919,31.393939393939394,zone1,1.0,0.5,0.765,-18.440808080808083,56.24242424242424,85.87878787878788
15.272727272727273,16.4985681,29.333333333333332,zone1,1.0,1.0,0.765,-222.93393939393937,55.39393939393939,82.84848484848484
15.090909090909092,14.916182300000001,21.818181818181817,zone1,1.0,1.5,0.765,-313.21131313131326,63.09090909090909,83.0909090909091
12.848484848484848,11.559563599999999,32.54545454545455,zone1,1.0,2.0,0.765,-80.24868686868696,54.60606060606061,82.24242424242425
12.363636363636363,9.45557574,43.81818181818182,zone1,1.0,2.5,0.765,62.02787878787872,43.81818181818182,82.0
11.393939393939394,9.361972009999999,42.24242424242424,zone1,1.0,3.0,0.765,37.46989898989904,46.36363636363637,83.33333333333333
13.454545454545455,10.3841773,32.303030303030305,zone1,1.0,3.5,0.765,-10.526666666666646,54.24242424242424,82.24242424242425
15.454545454545455,8.93972058,27.818181818181817,zone1,1.0,4.0,0.765,-110.65111111111108,56.72727272727273,81.33333333333333
14.242424242424242,5.93903842,45.81818181818182,zone1,1.0,4.5,0.765,6.109292929292925,39.93939393939394,77.51515151515152
13.090909090909092,20.4033793,22.606060606060606,zone1,1.5,0.5,0.765,-105.23333333333333,64.3030303030303,85.15151515151516
15.030303030303031,15.4917506,20.181818181818183,zone1,1.5,1.0,0.765,-407.81191919191923,64.78787878787878,83.33333333333333
12.424242424242424,13.2311394,21.939393939393938,zone1,1.5,1.5,0.765,-1.7967676767676712,65.63636363636364,85.75757575757575
15.393939393939394,10.1193256,31.636363636363637,zone1,1.5,2.0,0.765,-214.63515151515156,52.96969696969697,79.21212121212122
12.666666666666666,8.83802079,45.63636363636363,zone1,1.5,2.5,0.765,62.0983838383838,41.696969696969695,80.18181818181819
12.909090909090908,7.33062874,29.393939393939394,zone1,1.5,3.0,0.765,38.420808080808115,57.696969696969695,82.36363636363636
14.909090909090908,7.1529923,35.333333333333336,zone1,1.5,3.5,0.765,-179.71212121212125,49.75757575757576,78.78787878787878
12.484848484848484,6.315520360000001,37.75757575757576,zone1,1.5,4.0,0.765,49.949898989898976,49.75757575757576,78.84848484848484
19.575757575757574,4.85873513,68.96969696969697,zone1,1.5,4.5,0.765,-134.22404040404032,11.454545454545455,68.96969696969697
19.333333333333332,20.547774099999998,24.666666666666668,zone1,2.0,0.5,0.765,-436.3927272727274,56.0,78.66666666666667
14.181818181818182,13.1811291,18.78787878787879,zone1,2.0,1.0,0.765,-110.84060606060612,67.03030303030303,83.87878787878788
14.363636363636363,11.4167297,33.27272727272727,zone1,2.0,1.5,0.765,-50.62868686868685,52.36363636363637,80.24242424242425
12.727272727272727,8.45053516,33.93939393939394,zone1,2.0,2.0,0.765,7.188282828282825,53.333333333333336,82.24242424242425
11.454545454545455,6.12370704,25.393939393939394,zone1,2.0,2.5,0.765,57.23919191919194,63.15151515151515,86.3030303030303
22.0,5.85164693,73.0909090909091,zone1,2.0,3.0,0.765,49.77919191919193,4.909090909090909,52.36363636363637
15.090909090909092,4.56661292,38.666666666666664,zone1,2.0,3.5,0.765,-82.3903030303031,46.24242424242424,78.48484848484848
24.96969696969697,4.229527020000001,66.72727272727273,zone1,2.0,4.0,0.765,-47.73616161616163,8.303030303030303,59.333333333333336
18.242424242424242,3.45009138,55.45454545454545,zone1,2.0,4.5,0.765,-29.79393939393941,26.303030303030305,71.93939393939394
13.696969696969697,20.2166926,20.90909090909091,zone1,2.5,0.5,0.765,0.4307070707070571,65.39393939393939,84.66666666666667
18.242424242424242,12.7958105,25.21212121212121,zone1,2.5,1.0,0.765,-710.611111111111,56.54545454545455,79.81818181818181
11.212121212121213,10.3462612,35.27272727272727,zone1,2.5,1.5,0.765,69.03434343434341,53.515151515151516,84.66666666666667
10.484848484848484,7.1882692200000005,35.75757575757576,zone1,2.5,2.0,0.765,88.28525252525245,53.75757575757576,84.42424242424242
20.424242424242426,5.82317802,59.63636363636363,zone1,2.5,2.5,0.765,-314.80909090909086,19.939393939393938,70.48484848484848
16.181818181818183,4.412351660000001,74.9090909090909,zone1,2.5,3.0,0.765,55.63676767676768,8.909090909090908,72.9090909090909
15.696969696969697,3.85751057,58.24242424242424,zone1,2.5,3.5,0.765,19.09313131313133,26.060606060606062,73.51515151515152
10.545454545454545,3.29576561,31.03030303030303,zone1,2.5,4.0,0.765,88.17313131313121,58.42424242424242,84.0
11.333333333333334,2.9024189000000002,34.06060606060606,zone1,2.5,4.5,0.765,83.39535353535346,54.60606060606061,82.18181818181819
13.333333333333334,17.4337163,28.303030303030305,zone1,3.0,0.5,0.765,-19.861616161616176,58.36363636363637,83.21212121212122
15.151515151515152,12.2831204,30.606060606060606,zone1,3.0,1.0,0.765,-84.2250505050505,54.24242424242424,81.45454545454545
14.606060606060606,9.696929560000001,33.39393939393939,zone1,3.0,1.5,0.765,-231.57050505050526,52.0,80.54545454545455
15.93939393939394,6.479171750000001,44.121212121212125,zone1,3.0,2.0,0.765,5.9662626262626155,39.93939393939394,76.06060606060606
10.909090909090908,4.1489955300000005,35.515151515151516,zone1,3.0,2.5,0.765,87.48626262626256,53.57575757575758,83.03030303030303
24.242424242424242,3.75529545,71.27272727272727,zone1,3.0,3.0,0.765,21.29818181818183,4.484848484848484,55.09090909090909
21.333333333333332,3.1516172,72.96969696969697,zone1,3.0,3.5,0.765,54.56848484848486,5.696969696969697,61.515151515151516
17.272727272727273,2.76620498,59.696969696969695,zone1,3.0,4.0,0.765,-10.895353535353568,23.03030303030303,71.15151515151516
91.27272727272727,2.51334648,6.0606060606060606,zone1,3.0,4.5,0.765,8.124646464646466,2.6666666666666665,6.484848484848484
18.181818181818183,11.942631299999999,28.242424242424242,zone1,3.5,0.5,0.765,-277.4303030303031,53.57575757575758,78.78787878787878
20.363636363636363,9.67065796,32.84848484848485,zone1,3.5,1.0,0.765,-286.4402020202016,46.78787878787879,74.36363636363636
16.90909090909091,6.5554710599999995,67.93939393939394,zone1,3.5,1.5,0.765,30.3721212121212,15.151515151515152,72.72727272727273
15.696969696969697,4.55006833,33.696969696969695,zone1,3.5,2.0,0.765,-217.61414141414122,50.60606060606061,78.12121212121212
85.15151515151516,3.95571848,8.787878787878787,zone1,3.5,2.5,0.765,-21.978989898989905,6.0606060606060606,12.0
86.78787878787878,3.26628926,8.848484848484848,zone1,3.5,3.0,0.765,12.198787878787877,4.363636363636363,9.818181818181818
24.606060606060606,2.8329843500000003,69.63636363636364,zone1,3.5,3.5,0.765,-47.685656565656565,5.757575757575758,61.515151515151516
20.78787878787879,2.33785399,74.42424242424242,zone1,3.5,4.0,0.765,72.6648484848486,4.787878787878788,64.18181818181819
12.727272727272727,2.02161656,75.87878787878788,zone1,3.5,4.5,0.765,84.78525252525249,11.393939393939394,78.12121212121212
13.696969696969697,4.52311477,46.96969696969697,zone1,4.0,0.5,0.765,37.87838383838388,39.333333333333336,77.21212121212122
21.333333333333332,5.05601755,56.90909090909091,zone1,4.0,1.0,0.765,-458.18383838383755,21.757575757575758,67.75757575757575
13.333333333333334,4.9003955999999995,38.666666666666664,zone1,4.0,1.5,0.765,51.057575757575755,48.0,78.42424242424242
12.727272727272727,4.09325733,36.96969696969697,zone1,4.0,2.0,0.765,-32.942828282828266,50.303030303030305,80.3030303030303
11.575757575757576,2.8033474999999997,62.54545454545455,zone1,4.0,2.5,0.765,85.52262626262623,25.87878787878788,78.9090909090909
17.515151515151516,2.8120092199999998,62.36363636363637,zone1,4.0,3.0,0.765,24.061414141414122,20.12121212121212,71.33333333333333
22.90909090909091,2.1877723500000004,73.15151515151516,zone1,4.0,3.5,0.765,-36.42343434343439,3.9393939393939394,59.03030303030303
91.45454545454545,1.8872301,6.606060606060606,zone1,4.0,4.0,0.765,1.9238383838383857,1.9393939393939394,5.636363636363637
93.6969696969697,1.69509952,4.96969696969697,zone1,4.0,4.5,0.765,4.739999999999999,1.3333333333333333,3.8181818181818183
94.12121212121212,1.9587628099999999,4.303030303030303,zone1,4.5,0.5,0.765,5.6420202020202,1.5757575757575757,4.666666666666667
20.424242424242426,2.6933840300000003,72.72727272727273,zone1,4.5,1.0,0.765,75.75494949494964,6.848484848484849,62.36363636363637
25.818181818181817,3.22210901,69.21212121212122,zone1,4.5,1.5,0.765,-135.7474747474747,4.96969696969697,55.39393939393939
90.54545454545455,2.80181421,6.848484848484849,zone1,4.5,2.0,0.765,-150.1367676767677,2.606060606060606,6.848484848484849
12.0,2.56398314,42.0,zone1,4.5,2.5,0.765,81.44222222222218,46.0,79.63636363636364
22.666666666666668,2.0632473399999998,73.93939393939394,zone1,4.5,3.0,0.765,-83.96868686868672,3.393939393939394,60.06060606060606
93.57575757575758,1.83265397,5.333333333333333,zone1,4.5,3.5,0.765,-82.90484848484851,1.0909090909090908,3.878787878787879
28.90909090909091,1.50109574,70.48484848484848,zone1,4.5,4.0,0.765,-78.38323232323232,0.6060606060606061,42.60606060606061
20.848484848484848,1.41964212,77.57575757575758,zone1,4.5,4.5,0.765,74.92606060606062,1.5757575757575757,59.696969696969695
16.363636363636363,5.86462574,83.63636363636364,zone2,0.5,5.5,0.765,79.67393939393926,0.0,66.42424242424242
11.333333333333334,13.4910227,42.72727272727273,zone2,0.5,6.0,0.765,-5.372929292929289,45.93939393939394,85.27272727272727
12.969696969696969,17.479992600000003,24.848484848484848,zone2,0.5,6.5,0.765,-160.77414141414144,62.18181818181818,84.96969696969697
15.030303030303031,18.269215199999998,25.696969696969695,zone2,0.5,7.0,0.765,-211.1232323232323,59.27272727272727,82.96969696969697
18.848484848484848,17.7996516,27.393939393939394,zone2,0.5,7.5,0.765,-457.4715151515148,53.75757575757576,78.78787878787878
13.878787878787879,14.4996089,31.333333333333332,zone2,0.5,8.0,0.765,-81.65717171717165,54.78787878787879,83.21212121212122
18.484848484848484,5.94830859,58.06060606060606,zone2,0.5,8.5,0.765,-384.77939393939414,23.454545454545453,72.54545454545455
94.36363636363636,2.2233714300000003,2.8484848484848486,zone2,0.5,9.0,0.765,-10.322020202020203,2.787878787878788,5.090909090909091
96.84848484848484,0.845565931,2.0606060606060606,zone2,0.5,9.5,0.765,3.0597979797979806,1.0909090909090908,2.6666666666666665
12.303030303030303,5.89928725,79.81818181818181,zone2,1.0,5.5,0.765,84.73313131313131,7.878787878787879,76.84848484848484
12.0,8.9976391,58.121212121212125,zone2,1.0,6.0,0.765,42.05090909090911,29.87878787878788,80.84848484848484
15.030303030303031,11.1218309,48.78787878787879,zone2,1.0,6.5,0.765,-80.45393939393936,36.18181818181818,79.87878787878788
11.515151515151516,12.215556399999999,34.96969696969697,zone2,1.0,7.0,0.765,21.94343434343434,53.515151515151516,85.03030303030303
13.272727272727273,12.1506284,38.42424242424242,zone2,1.0,7.5,0.765,-122.8052525252525,48.303030303030305,83.0909090909091
12.909090909090908,10.1469637,38.303030303030305,zone2,1.0,8.0,0.765,-0.4527272727272731,48.78787878787879,82.60606060606061
15.212121212121213,6.03825899,37.93939393939394,zone2,1.0,8.5,0.765,-76.18727272727281,46.84848484848485,79.27272727272727
20.78787878787879,3.7224509699999997,73.63636363636364,zone2,1.0,9.0,0.765,46.78202020202019,5.575757575757576,60.0
95.39393939393939,1.93194126,2.484848484848485,zone2,1.0,9.5,0.765,4.525050505050506,2.121212121212121,4.121212121212121
11.454545454545455,5.11453898,73.21212121212122,zone2,1.5,5.5,0.765,86.29939393939398,15.333333333333334,80.78787878787878
11.696969696969697,5.5139954399999995,63.45454545454545,zone2,1.5,6.0,0.765,85.42424242424235,24.848484848484848,79.15151515151516
13.090909090909092,7.44121755,49.63636363636363,zone2,1.5,6.5,0.765,-96.66909090909093,37.27272727272727,81.81818181818181
14.06060606060606,8.18316825,55.45454545454545,zone2,1.5,7.0,0.765,-38.169696969696936,30.484848484848484,78.78787878787878
13.515151515151516,8.35422995,36.84848484848485,zone2,1.5,7.5,0.765,-90.31878787878787,49.63636363636363,81.93939393939394
13.272727272727273,8.59265817,44.303030303030305,zone2,1.5,8.0,0.765,-65.0349494949495,42.42424242424242,80.84848484848484
15.454545454545455,6.250913929999999,57.93939393939394,zone2,1.5,8.5,0.765,44.615757575757584,26.606060606060606,74.18181818181819
17.151515151515152,4.637947860000001,75.51515151515152,zone2,1.5,9.0,0.765,26.24585858585857,7.333333333333333,70.96969696969697
95.45454545454545,2.30444947,2.9696969696969697,zone2,1.5,9.5,0.765,-230.97252525252526,1.5757575757575757,3.8181818181818183
15.696969696969697,3.72462318,83.15151515151516,zone2,2.0,5.5,0.765,80.7529292929293,1.1515151515151516,70.06060606060606
14.0,4.31858582,76.12121212121212,zone2,2.0,6.0,0.765,11.773535353535356,9.878787878787879,75.93939393939394
14.242424242424242,5.08558805,57.515151515151516,zone2,2.0,6.5,0.765,-92.03959595959608,28.242424242424242,78.72727272727273
14.484848484848484,5.89299502,52.36363636363637,zone2,2.0,7.0,0.765,-67.68424242424243,33.15151515151515,78.0
14.363636363636363,6.174515929999999,50.18181818181818,zone2,2.0,7.5,0.765,-129.20000000000007,35.45454545454545,80.3030303030303
23.636363636363637,6.32916493,67.63636363636364,zone2,2.0,8.0,0.765,26.35232323232324,8.727272727272727,53.57575757575758
12.545454545454545,6.21091977,45.21212121212121,zone2,2.0,8.5,0.765,-28.303030303030344,42.24242424242424,82.3030303030303
11.272727272727273,7.28245616,47.45454545454545,zone2,2.0,9.0,0.765,86.62161616161616,41.27272727272727,81.33333333333333
16.78787878787879,5.1688021,80.60606060606061,zone2,2.0,9.5,0.765,1.0468686868686876,2.606060606060606,71.27272727272727
15.454545454545455,3.0031574099999996,79.63636363636364,zone2,2.5,5.5,0.765,81.58444444444443,4.909090909090909,71.63636363636364
20.484848484848484,3.1455522,75.87878787878788,zone2,2.5,6.0,0.765,72.00020202020215,3.6363636363636362,50.42424242424242
16.060606060606062,3.96984426,74.72727272727273,zone2,2.5,6.5,0.765,33.680808080808134,9.212121212121213,70.78787878787878
17.151515151515152,4.42702449,78.18181818181819,zone2,2.5,7.0,0.765,72.50787878787872,4.666666666666667,68.06060606060606
11.151515151515152,5.257301679999999,49.696969696969695,zone2,2.5,7.5,0.765,86.95636363636356,39.15151515151515,81.75757575757575
11.151515151515152,6.32620181,55.333333333333336,zone2,2.5,8.0,0.765,86.88888888888883,33.515151515151516,81.63636363636364
18.848484848484848,8.18726715,74.96969696969697,zone2,2.5,8.5,0.765,-112.31898989899,6.181818181818182,72.36363636363636
11.393939393939394,9.3596039,86.24242424242425,zone2,2.5,9.0,0.765,86.02646464646467,2.3636363636363638,79.39393939393939
10.909090909090908,14.1061929,85.75757575757575,zone2,2.5,9.5,0.765,87.40989898989892,3.3333333333333335,82.36363636363636
98.48484848484848,2.5065352200000004,0.9696969696969697,zone2,3.0,5.5,0.765,1.4771717171717174,0.5454545454545454,1.2727272727272727
15.636363636363637,2.64235616,78.0,zone2,3.0,6.0,0.765,76.16969696969687,6.363636363636363,71.21212121212122
15.212121212121213,3.50945827,79.21212121212122,zone2,3.0,6.5,0.765,81.59252525252519,5.575757575757576,71.39393939393939
15.757575757575758,3.7273325,69.81818181818181,zone2,3.0,7.0,0.765,26.137979797979796,14.424242424242424,72.54545454545455
20.181818181818183,4.503100430000001,74.42424242424242,zone2,3.0,7.5,0.765,-34.87414141414136,5.393939393939394,66.06060606060606
17.515151515151516,5.833618400000001,78.72727272727273,zone2,3.0,8.0,0.765,32.86666666666668,3.757575757575758,67.21212121212122
12.848484848484848,8.52013416,83.87878787878788,zone2,3.0,8.5,0.765,40.74404040404038,3.272727272727273,79.03030303030303
11.333333333333334,12.8594522,55.93939393939394,zone2,3.0,9.0,0.765,70.69272727272724,32.72727272727273,85.15151515151516
12.303030303030303,19.3592826,52.484848484848484,zone2,3.0,9.5,0.765,42.23959595959593,35.21212121212121,84.12121212121212
98.60606060606061,1.99739049,0.9696969696969697,zone2,3.5,5.5,0.765,1.312929292929293,0.42424242424242425,1.0303030303030303
96.48484848484848,2.21335864,2.3636363636363638,zone2,3.5,6.0,0.765,3.2442424242424255,1.1515151515151516,2.484848484848485
23.818181818181817,2.56527106,74.18181818181819,zone2,3.5,6.5,0.765,63.873131313131246,2.0,27.575757575757574
20.424242424242426,3.0987091500000004,74.06060606060606,zone2,3.5,7.0,0.765,73.63737373737385,5.515151515151516,55.27272727272727
11.272727272727273,4.15643009,55.21212121212121,zone2,3.5,7.5,0.765,86.58101010101008,33.515151515151516,81.21212121212122
16.666666666666668,5.853248499999999,80.12121212121212,zone2,3.5,8.0,0.765,79.04646464646466,3.212121212121212,69.15151515151516
12.363636363636363,7.84427276,82.3030303030303,zone2,3.5,8.5,0.765,84.97919191919189,5.333333333333333,78.54545454545455
10.484848484848484,12.6533189,70.06060606060606,zone2,3.5,9.0,0.765,88.36202020202016,19.454545454545453,84.48484848484848
10.242424242424242,18.543453799999998,62.42424242424242,zone2,3.5,9.5,0.765,88.8325252525253,27.333333333333332,85.21212121212122
98.66666666666667,1.85681815,0.9696969696969697,zone2,4.0,5.5,0.765,1.200808080808081,0.36363636363636365,0.8484848484848485
12.848484848484848,2.05631538,84.06060606060606,zone2,4.0,6.0,0.765,84.52686868686858,3.090909090909091,77.33333333333333
23.696969696969695,2.33674627,74.78787878787878,zone2,4.0,6.5,0.765,65.44767676767667,1.5151515151515151,30.242424242424242
21.333333333333332,2.8324788,76.12121212121212,zone2,4.0,7.0,0.765,71.78242424242418,2.5454545454545454,52.78787878787879
26.363636363636363,3.83321233,71.87878787878788,zone2,4.0,7.5,0.765,-39.683838383838356,1.7575757575757576,38.121212121212125
12.303030303030303,4.863661860000001,80.18181818181819,zone2,4.0,8.0,0.765,84.97919191919188,7.515151515151516,78.3030303030303
14.242424242424242,6.8573542100000004,55.03030303030303,zone2,4.0,8.5,0.765,6.50424242424241,30.727272727272727,79.33333333333333
11.454545454545455,9.604079910000001,83.81818181818181,zone2,4.0,9.0,0.765,86.21616161616164,4.7272727272727275,80.54545454545455
11.515151515151516,13.7231427,56.24242424242424,zone2,4.0,9.5,0.765,69.1046464646465,32.24242424242424,84.0
23.757575757575758,1.40242518,76.0,zone2,4.5,5.5,0.765,64.52989898989884,0.24242424242424243,28.060606060606062
20.848484848484848,1.5817474500000002,76.9090909090909,zone2,4.5,6.0,0.765,72.73070707070714,2.242424242424242,52.54545454545455
96.96969696969697,1.9793117299999998,2.242424242424242,zone2,4.5,6.5,0.765,2.6981818181818187,0.7878787878787878,1.7575757575757576
23.757575757575758,2.3976485899999997,74.84848484848484,zone2,4.5,7.0,0.765,66.83010101010089,1.393939393939394,37.21212121212121
24.545454545454547,3.01053105,74.06060606060606,zone2,4.5,7.5,0.765,62.43232323232322,1.393939393939394,26.303030303030305
